Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Communicating with Confidence,"<p>Confidence is one of the secrets of impactful communication. But how do you cultivate it effectively as you grow? In this course, join instructor and professional speaking coach Vinh Giang as he shares insights, strategies, and practical techniques on how to start communicating with more clarity, power, and confidence.</p><p>Discover the foundational skills of a successful communicator, developing your power of presence along the way. Learn how to manage your message, master your voice and body language, communicate with confidence digitally, and handle nervousness and overcome your fear. Upon completing this course, you’ll be equipped with the self-awareness you need to continue building your skills and improving your communication style.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p> <p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/public-speaking-skills-professional-certificate-by-toastmasters-international"" target=""_blank"">Professional Certificate</a> from Toastmasters International.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,N/A,N/A,true,N/A,
GitHub Essential Training: 1 The Basics,"If you’re looking to get started with GitHub, you’ve come to the right place. In this course, instructor Jerome Hardaway shows you the skills you need to know to get up and running with the industry-standard tool for collaborating on coding projects and sharing work in real time. Learn how to use the wide variety of features built into GitHub that support and enhance the modern software pipeline, leveraging the extensibility of the GitHub ecosystem which lets you customize and enhance existing workflows. Get a brief introduction to the GitHub command line to find out how to create, read, update, delete, fork, and clone a repo on your own. Jerome covers the basics of recharged repos, managing a GitHub project board, and how to create and work with GitHub issues. Upon completing this course, you’ll be prepared to start using GitHub on all kinds of coding projects, modifying your workflow as you go.",Course,N/A,N/A,true,N/A,
DevSecOps: Building a Secure Continuous Delivery Pipeline,"Over the past several years, information security has struggled to keep up with the fast-paced DevOps movement. DevSecOps—an extension of DevOps—aims to remedy this by embracing security as an essential part of DevOps culture. This course examines this fresh take on DevOps, providing an overview of the practices and tools that can help you implement security across the entirety of the continuous integration and continuous delivery (CI/CD) pipeline. As instructor James Wickett looks at CI/CD through the lens of security, he breaks up the pipeline into five distinct stages: develop, inherit, build, deploy, and operate. As he moves through each of these stages, he provides an overview of best practices and tools that can fit nicely into your DevSecOps toolchain approach.",Course,2024-07-24 08:45 UTC,N/A,false,N/A,
Drawing Vector Graphics: Hand Lettering,"Typography and lettering are distinct yet intimately interwoven art forms. While typography relies on established fonts, lettering relies on the hand of an artist. However, since hand lettering, like typography, is usually destined for print or the web, it's critical for illustrators to be able to transform their letterform drawings into pristine vector graphics. In this installment of <em>Drawing Vector Graphics</em>, Von Glitschka takes members through the entire creative process of hand lettering: starting with analog drawing tools, then using Adobe Illustrator to turn his drawings into vector graphics that can be further customized and scaled up or down. Von also introduces styling tips to create more compelling graphics and examples from some of the industry's best artists.",Course,2025-03-03 11:35 UTC,N/A,false,N/A,
Learning Python Generators,"Generators are a concept unique to Python. They're incredibly helpful if you know how and when to use them. Simply put, generators are possibly the best way to iterate through large and complex data sets. In this course, Megan Amendola covers the basics you need to know about Python generators, starting from what they are, how to create them, what they’re for, and ways to use them. Megan teaches you the benefit of using Python generators to improve your program’s performance and save memory when working with large data sets using generator functions. She also covers what Python’s yield keyword is and what it does, how to create a generator expression, how to combine multiple generators into a pipeline, and more. Megan also provides challenges and solutions as you go along so you can test your knowledge as you learn.",Course,2025-01-23 19:58 UTC,N/A,true,N/A,
Ethical Hacking: Introduction to Ethical Hacking,"Ethical hacking tests the strength of an organization's defenses and is a desired skill for any IT professional. In this course, security expert Lisa Bock explains how to protect data in a digital world and covers the basics of Information security. She begins by discussing how to layer defenses and outlines the power of using adaptive security controls. Lisa describes how artificial intelligence can help early threat detection and explains the benefits of  MITRE ATT&CK, which provides tools and techniques specific to the ethical hacking process. She then stresses the need to maintain a vigilant posture, by using threat modeling and cyber threat intelligence. Lisa also provides an overview of the various hacker frameworks and reviews the laws and standards that define best practice behavior. She concludes by covering why it’s essential to perform ethical hacking, examines attack types and motives, lists the main hacking phases, and outlines the desired skills of an ethical hacker.",Course,2024-07-24 08:48 UTC,N/A,false,N/A,
Learning GitHub Pages,"If you’re looking for an open-core, user-friendly way to publish an app or website, GitHub has a lot to offer. Now, with GitHub Pages, you can get your own site up and running in no time, and you can do it all for free. In this course, instructor Ray Villalobos teaches you how to use the standard features of GitHub to build, modify, and publish content on a simple, static website.<br><br>Discover the skills you need to know to make use of GitHub and take advantage of its free features. Start with the basics and get to know the GUI, exploring what it has to offer. Ray covers wikis, repos, and content editing with markdown and GitHub.dey, as well as how to host HTML and static websites with Jekyll and Eleventy. Find out why people are excited about the power of GitHub by joining Ray and learning how to publish your own unique app.",Course,N/A,N/A,true,N/A,
JavaScript: Hashmaps,"Hashmaps are a very useful data structure in programming languages. In JavaScript, data is stored in key-value pairs, using hashmaps to allow for quick retrieval of data. In this course, software engineer and web evangelist Tiffany Graves covers what hashmaps are and why they are used. Learn how the built-in functions for hashmaps, get() and set(), offer quick data retrieval, which leads to an optimal time complexity. Explore the relatively optimal space complexity of Hashmaps in JavaScript, as well.  Plus, dive into a discussion of hashing and the basics of what a hash function is.",Course,2026-05-27 20:44 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2021-08-12 16:09 UTC,N/A,false,N/A,
C++ Design Patterns: Structural,"<p>Design patterns allow you to solve common software development problems in a reusable way, making your code more robust and scalable. In this course, Károly Nyisztor explores the structural design patterns from the Gang of Four. He shows you how to leverage these patterns in modern C++ code and how they can help you design more robust and scalable software. He also discusses the seven structural design patterns from the original design patterns book—adapter, bridge, composite, decorator, facade, flyweight, and proxy—and shows you how to implement each one in modern C++. For each pattern, he shows you when and how to use it, along with its benefits and drawbacks. Join Károly in this course to learn how to apply structural design patterns in your own code and bolster your development skills. </p><p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/c-plus-plus-programming-professional-certificate-by-openedg-c-plus-plus-institute"">Professional Certificate</a> from OpenEDG C++ Institute.</p>",Course,2024-10-18 04:55 UTC,N/A,false,N/A,
Ableton Live 12 Essential Training,"Do you work in audio recording, loop-based songwriting, or synth and sound design? In this course, music professor Rick Schmunk walks you through a variety of ways you can use Ableton Live 12 in your workflows. Rick shows you how to set up your system and use the Ableton Live user interface. He explains how to work with the browser, the Arrangement view, and the Session view. After going over how to use the MIDI Editor, how to record and edit audio, and how to work with arrangements, Rick covers plug-ins, effects racks, the live mixer, and mapping. Then he demonstrates how to make your life easier by automating graphics, editing, and clips, including real-time automation. Rick concludes with some practical advice on managing your files.",Course,2024-12-17 08:18 UTC,N/A,false,N/A,
Claude Code for Non-Programmers: Automating Daily Tasks,"<p>Turn natural language into functional applications without writing a single line of code. In this hands-on course, instructor Harshit Tyagi shows non-developers how to set up Claude Code locally, manage files and data, and create automation workflows that simplify day-to-day work.</p><p>
Build a practical invoice processing tool, analyze large datasets, and learn to chain tasks like organizing, processing, and generating marketing content. You’ll learn how to use Claude Code with external tools like Notion, using MCP servers. Even if you’ve never used a code editor before, this course will prepare you to automate multistep processes and create mini-products that solve real-world problems.</p>",Course,2025-12-16 19:57 UTC,N/A,false,N/A,
Uncertain: The Wisdom and Wonder of Being Unsure,"<p>Most people often feel embarrassed about uncertainties or blind spots in their knowledge. But Maggie Jackson—a journalist who covers social trends, with a particular focus on technology’s impact on humanity—argues that, properly understood, our ignorance can be the secret to enhanced performance and groundbreaking ideas. In this audiobook summary, Maggie shares five big ideas from her book, <i>Uncertain: The Wisdom and Wonder of Being Unsure</i>.
 </p><p>
 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2026-04-25 23:45 UTC,N/A,false,N/A,
Become an IT Security Specialist,"Learn the core concepts needed to secure your organization's network as an IT security specialist. In this learning path, you'll cover all the foundations of IT security: from practical skills for securing hardware and network data to the basics of cryptography and cybercrime investigation and response.",Learning Path,N/A,N/A,true,N/A,
Career Essentials in GitHub Professional Certificate,"Want to advance your developer journey? Are you a new computer science grad looking for a developer role? These courses teach the skills to enrich your GitHub portfolio and elevate your profile in today's competitive job market. Tune in, pass the final exam, and earn your professional certificate.",Learning Path,N/A,N/A,true,N/A,
Become an Ethical Hacker,"Ethical hacking is the ability to identify vulnerabilities in an organization's network or infrastructure, and then address the issues to prevent incidents or attacks. Learn how to perform penetration testing and gain the knowledge and skills you need for a career in information security.",Learning Path,2024-07-24 08:48 UTC,N/A,true,N/A,
Career Essentials in Cybersecurity by Microsoft and LinkedIn,Discover the skills needed for a career in cybersecurity. Gain a solid understanding of commonly used cybersecurity terms. Explore the current threat landscape and learn the core concepts of cybersecurity.  ,Learning Path,N/A,N/A,true,N/A,
